temp,spCond,pH,ODO,turb,fDOM,CHL,NO3
20.715,1176.01,7.78,97.13,50.83,50.56,5.46,31.41
20.715,1176.04,7.78,97.13,50.28,50.54,5.43,31.44
20.715,1176.02,7.78,97.13,50.56,50.53,5.39,31.91
20.715,1176.04,7.78,97.13,50.71,50.53,5.38,32.18
20.714,1176.05,7.78,97.13,50.77,50.53,5.37,32.11
20.714,1176.1,7.78,97.13,50.53,50.49,5.34,31.59
20.714,1176.12,7.78,97.13,50.27,50.47,5.28,31.75
20.713,1176.07,7.78,97.13,50.19,50.47,5.25,32.02
20.713,1176.09,7.78,97.12,50.33,50.44,5.24,31.46
20.712,1176.11,7.78,97.12,50.45,50.41,5.22,31.51
20.712,1176.11,7.78,97.11,50.41,50.39,5.21,31.65
20.712,1176.14,7.78,97.11,50.49,50.38,5.23,31.31
20.711,1176.18,7.78,97.11,50.66,50.35,5.26,31.45
20.711,1176.16,7.78,97.11,50.67,50.32,5.3,31.57
20.711,1176.11,7.78,97.1,50.78,50.28,5.31,31.45
20.711,1176.11,7.78,97.1,50.97,50.24,5.28,31.88
20.711,1176.11,7.78,97.1,51.14,50.22,5.27,31.08
20.711,1176.12,7.78,97.1,51.32,50.15,5.31,32.01
20.712,1176.11,7.78,97.1,51.73,50.07,5.29,32.3
20.712,1176.15,7.78,97.1,52.03,50.05,5.27,31.4
20.713,1176.14,7.78,97.1,52.3,49.96,5.21,31.29
20.713,1176.17,7.78,97.1,52.46,49.91,5.15,32.24
20.714,1176.15,7.78,97.1,51.81,49.86,5.12,31.72
20.714,1176.16,7.78,97.1,51.82,49.81,5.09,31.35
20.716,1176.19,7.78,97.1,56.15,49.76,5.1,32.29
20.718,1176.2,7.78,97.12,55.04,49.71,5.11,31.09
20.719,1176.26,7.78,97.13,55.07,49.66,5.11,31.93
20.725,1176.44,7.78,97.15,54.62,49.55,5.13,31.34
20.73,1176.6,7.78,97.17,52.71,49.49,5.19,32.34
20.735,1176.72,7.78,97.19,54.37,49.42,5.2,31.91
20.743,1176.82,7.78,97.22,54.3,49.27,5.36,31.75
20.743,1176.86,7.78,97.22,54.3,49.24,5.01,31.46
20.742,1176.78,7.78,97.21,54.26,49.23,5.07,31.26
20.741,1176.72,7.78,97.21,54.18,49.24,5.06,31.6
20.739,1176.69,7.78,97.21,54.08,49.25,5.08,31.37
20.738,1176.63,7.78,97.2,54.1,49.25,5.09,31.36
20.727,1176.42,7.78,97.16,53.6,49.32,5.17,31.43
20.722,1176.2,7.78,97.13,54.31,49.32,5.92,31.57
20.72,1176.25,7.78,97.14,56.29,49.22,5.23,32.37
20.748,1177.94,7.78,97.3,47.04,49.53,5.18,31.8
20.785,1180.97,7.78,97.55,47.72,50.19,5.42,31.13
20.777,1180.42,7.78,97.59,54.93,50.32,5.53,29.93
20.741,1177.31,7.78,97.4,59.81,49.74,5.46,30.73
20.729,1176.36,7.78,97.26,58.24,48.84,5.38,31.82
20.725,1176.13,7.78,97.2,56.65,48.57,5.27,31.58
20.727,1176.21,7.78,97.17,53.93,48.44,5.17,31.73
20.733,1176.51,7.78,97.18,56.11,48.49,5.22,31.69
20.739,1176.69,7.78,97.2,56.31,48.54,5.26,32.27
20.744,1176.81,7.78,97.21,52.62,48.59,5.26,31.67
20.747,1176.95,7.78,97.23,56.51,48.65,5.28,31.74
20.749,1177.04,7.78,97.25,56.76,48.67,5.32,31.38
20.749,1177,7.78,97.25,57.84,48.65,5.37,31.39
20.747,1176.83,7.78,97.23,57.97,48.63,5.39,31.48
20.741,1176.59,7.78,97.21,57.84,48.63,5.4,31.49
20.736,1176.47,7.78,97.19,57.83,48.64,5.39,31.58
20.732,1176.33,7.78,97.17,57.68,48.63,5.33,31.54
20.73,1176.26,7.78,97.15,57.46,48.62,5.26,31.63
20.728,1176.19,7.78,97.14,57.54,48.6,5.21,31.83
20.727,1176.09,7.78,97.13,57.52,48.56,5.23,31.8
20.726,1176.13,7.78,97.13,60.94,48.49,5.28,32.31
20.725,1176.17,7.78,97.12,57.84,48.45,5.36,31.2
20.724,1176.23,7.78,97.11,55.81,48.45,5.4,32.3
20.723,1176.2,7.78,97.1,65.57,48.43,5.43,32.17
20.723,1176.19,7.78,97.09,62.01,48.4,5.48,32.3
20.726,1175.96,7.78,97.08,57.68,48.24,5.55,31.47
20.734,1175.99,7.78,97.08,54.14,48.37,5.23,31.84
20.747,1176.14,7.78,97.11,56.61,48.49,5.5,32.06
20.743,1176.33,7.78,97.26,56.68,48.89,5.43,31.47
20.737,1176.05,7.78,97.24,50.53,49.01,5.26,31.02
20.737,1176.03,7.78,97.24,51.79,49.04,5.33,31.86
20.737,1176.05,7.78,97.24,52.11,49.1,5.39,31.56
20.737,1176.06,7.78,97.24,51.82,49.15,5.41,32.02
20.737,1176.07,7.78,97.24,51.84,49.2,5.45,32.49
20.736,1176.1,7.78,97.26,52.99,49.32,5.58,32
