temp,spCond,pH,ODO,turb,fDOM,CHL,NO3,cluster,SUBcluster
14.554,197.13,7.59,104.08,10.96,25.96,0.97,17.56,2,3
14.554,197.1,7.59,104.07,10.88,25.96,0.97,17.55,2,3
14.553,197.15,7.59,104.06,10.87,25.97,0.97,17.52,2,3
14.554,197.25,7.59,104.06,10.85,25.97,0.96,17.64,2,3
14.554,197.29,7.59,104.05,10.8,25.99,0.97,17.47,2,3
14.554,197.36,7.59,104.04,10.77,26,0.96,17.51,2,3
14.554,197.42,7.59,104.03,10.78,26.01,0.96,17.61,2,3
14.553,197.54,7.59,104.02,10.74,25.99,0.96,17.63,2,3
14.552,197.61,7.59,104.01,10.82,26,0.97,17.59,2,3
14.551,197.71,7.59,104.01,10.87,26.01,0.96,17.58,2,3
14.55,197.78,7.59,104,10.95,26.01,0.95,17.64,2,3
14.55,197.82,7.59,103.99,11.02,26.02,0.96,17.71,2,3
14.55,197.89,7.59,103.99,11.03,26.03,0.97,17.7,2,3
14.55,198.04,7.59,103.99,11.05,26.04,0.98,17.58,2,3
14.55,198.09,7.59,103.98,11.1,26.04,0.96,17.64,2,3
14.549,198.15,7.59,103.97,11.11,26.04,0.96,17.63,2,3
14.547,198.27,7.59,103.95,11.16,26.06,0.95,17.85,2,3
14.548,198.42,7.59,103.92,10.97,26.06,0.96,17.64,2,3
14.549,198.45,7.59,103.92,10.99,26.07,0.95,17.6,2,3
14.549,198.49,7.59,103.92,10.97,26.08,0.96,17.72,2,3
14.55,198.58,7.59,103.92,10.95,26.1,0.96,17.7,2,3
14.55,198.64,7.59,103.91,10.95,26.1,0.97,17.71,2,3
14.55,198.65,7.59,103.91,10.97,26.1,0.99,17.72,2,3
14.55,198.7,7.59,103.9,10.99,26.12,0.98,17.87,2,3
14.55,198.78,7.59,103.9,11.06,26.11,1.01,17.8,2,3
14.55,198.82,7.59,103.89,11.08,26.1,1,17.83,2,3
14.55,198.88,7.59,103.89,11.09,26.11,0.99,17.93,2,3
14.55,198.98,7.59,103.88,11.07,26.1,0.99,17.88,2,3
14.55,199.01,7.59,103.87,11.07,26.1,0.98,17.74,2,3
